Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	37.143846495469845	0.12276410291391615	0.3429880151485169	0.3579253428454583	0.7203991845991613	0.9859656172302262
A1BG-AS1	5.22707529967267	1.3733437899743748	0.8076916097955343	1.7003318758282437	0.08906851789383163	NA
A1CF	13.783844583634751	-1.4678370610501934	0.5364917778693127	-2.735991718045962	0.00621925912442066	0.460464377481145
A2M	1061.840232667915	-0.15910879895512947	0.21819824610316815	-0.7291937574965653	0.46588314921942287	0.9577850783548021
A2M-AS1	58.38726526382376	0.11166972865611066	0.2987813348177624	0.3737506853439224	0.7085898121291709	0.9859378330366176
A2ML1	159.88040666935558	-0.12860592211931068	0.22608702213110957	-0.568833721224083	0.569468987878303	0.9703474614744063
A2MP1	48.623521677488604	-0.34733073378620793	0.3175004187756705	-1.0939536241418757	0.27397531832578403	0.8997009977200493
A3GALT2	43.144644417462096	0.7405149252016345	0.5211006721997827	1.4210592400036886	0.15529953821158538	0.8424713083582724
A4GALT	4.774974494590277	-1.546031449647945	0.8525270524799735	-1.8134690801313458	0.06975950335874523	NA
A4GNT	4.540736349188141	-0.6255460596188299	0.840866877991915	-0.7439299560861579	0.45691885139841737	NA
AA06	0	NA	NA	NA	NA	NA
AAAS	261.97544520835936	0.5092825536758551	0.24814498267183693	2.0523588596968065	0.0401347996292163	0.6923765050706532
AACS	366.19189409814834	0.2195479917181771	0.20849903534904266	1.0529928416725653	0.29234427286884024	0.9058347394319952
AACSP1	5.345934944690506	0.04541424627356854	0.5136701964231846	0.08841129306274613	0.9295497858795106	NA
AADAC	0	NA	NA	NA	NA	NA
AADACL2	1.5866059816500777	-1.654420755773098	1.0881585207548843	-1.5203857932623481	0.12841404292362785	NA
AADACL2-AS1	17.447386011300782	-0.11440327570232207	0.4967032324716594	-0.23032520874292808	0.8178390733855074	0.9917276036095009
AADACL3	0.5867653095079156	0.4576133032868061	1.5859269161894978	0.2885462744943584	0.7729286140473666	NA
AADACL4	7.0291003896091135	-0.6903491357875583	0.5687681053048887	-1.21376204001013	0.2248386057622577	0.8815877436457634
AADACP1	0	NA	NA	NA	NA	NA
AADAT	645.1377504646535	0.4823964135580493	0.21944055479839572	2.198301102552517	0.02792765589521791	0.6489953853384568
AAED1	39.99671804350912	0.04841066421149764	0.24335719493974253	0.19892842791635792	0.8423187316408135	0.9945075115568311
AAGAB	689.4136492627517	0.014067712014321332	0.16382502558028098	0.08587034834569629	0.9315694830140806	0.9983494417529195
AAK1	3804.440556159289	-0.017920851229962977	0.1247420269313319	-0.1436632999384246	0.8857663529070262	0.9975867902969487
AAMDC	985.031018337766	-0.17027715676959926	0.18810061689263935	-0.9052450735277863	0.36533556788679467	0.9265942431921587
AAMP	95.90608393747657	-0.6427489491842949	0.28637997691098815	-2.2443920699947273	0.02480718629127375	0.6314996960320626
AANAT	5.207851018604836	0.5865134936155282	0.7556357806423608	0.7761854436232983	0.4376394995463053	NA
AAR2	211.0627912492137	0.33540646038754063	0.23698771342108857	1.415290504075956	0.15698333804591816	0.8461354332791348
AARD	0.5401490428003396	2.5883241401229324	2.4241443378283987	1.067726908720959	0.28564371666399196	NA
AARS	496.64991789862466	-0.006601214514305645	0.28355261222517564	-0.02328038688306447	0.9814266164742693	0.9994553985484685
AARS2	133.40187694740152	-0.06650354627717218	0.23052055398418464	-0.28849291365894775	0.7729694541263297	0.988283406722431
AARSD1	0	NA	NA	NA	NA	NA
AASDH	748.0457471066206	0.12821770311503045	0.1653395993796793	0.7754809107804622	0.43805554105200317	0.9506104341348476
AASDHPPT	470.40403390356596	0.13929206804121694	0.16495549468891352	0.844422117031659	0.39843356761297843	0.9372520786007945
AASS	3405.975248650834	-0.16519756553511666	0.2409392708290206	-0.6856398501029205	0.4929402456600622	0.9610173980273579
AATBC	43.00666080703543	-0.073143329123059	0.44226912405621877	-0.16538194765267275	0.8686433617049605	0.9974096847385203
AATF	1699.1250933963252	0.13847455638926395	0.16578816055086135	0.8352499715851665	0.4035769789639683	0.9385142884595553
AATK	673.5565537806083	0.4220515276048912	0.28854626427450303	1.4626823489330656	0.14355431823429562	0.826535817261924
AATK-AS1	66.61789250780355	0.2127673901035939	0.3208674067135269	0.6631006629275824	0.5072660861169307	0.9649283784540506
ABALON	0	NA	NA	NA	NA	NA
ABAT	2064.710217506759	0.07696492870991736	0.16538054066179006	0.4653808023721109	0.6416587795463629	0.978960491013562
ABCA1	3783.225333161178	-0.3932649163432081	0.19818300885472548	-1.9843523348234355	0.047216575735715895	0.7151382254161558
ABCA10	647.1646133562597	-0.01374056076567892	0.26299488059446574	-0.052246495196485075	0.9583322856891359	0.9994553985484685
ABCA11P	332.60614896694017	-0.2939169804029454	0.3088798376608788	-0.9515576757251433	0.34132135501315897	0.9192795968386784
ABCA12	120.04856647375345	-0.5595614249868889	0.3528052613653512	-1.5860348080450797	0.11273141375400617	0.7958369902361736
ABCA13	120.76018494083117	9.340416814263517e-4	0.3751570579916838	0.002489735063033405	0.998013480885049	0.9995304308349993
ABCA17P	294.77930057983093	-0.16869336423181786	0.22307348498834312	-0.7562232877683023	0.4495153326073454	0.955167448242597
ABCA2	2527.5590784125	0.4651909683533203	0.361215501906182	1.287848848951515	0.19779858409613857	0.8662264366501604
ABCA3	456.5137470583501	0.277550477810238	0.3027898619913701	0.9166438928465463	0.35932927591464336	0.9265942431921587
ABCA4	13.737208345291894	-0.2996413072086457	0.7149948060555943	-0.41908179565901227	0.6751563545021723	0.9819768098022252
ABCA5	2085.401608197002	0.11085425614234568	0.2335819166731776	0.4745840676418902	0.6350834644860828	0.9780910057381728
ABCA6	535.610523147714	-0.8571056111748828	0.6225771947139274	-1.376705761875394	0.1686032366114264	0.849942814823511
ABCA7	22.44115273223927	0.11338271423084736	0.4347867503524408	0.2607777586114081	0.7942638971883484	0.9897056584779325
ABCA8	4186.701780499277	0.6246140629306249	0.2736859345838437	2.282229314708441	0.02247580523661701	0.6183648296406314
ABCA9	202.07250295118646	-0.6731807722061487	0.49604931487011816	-1.3570843704973352	0.1747544040082618	0.8541244627321575
ABCA9-AS1	0	NA	NA	NA	NA	NA
ABCB1	17.291829414909508	0.05104269262886148	0.5500305050659513	0.09279974866619664	0.9260626506857687	0.9982461418513799
ABCB10	671.5368753531269	0.08025305052971762	0.15082558263210347	0.532091765396805	0.5946624403865596	0.973590145767747
ABCB11	7.179477510663519	-0.6075446653993152	0.6822445278521488	-0.890508667489053	0.3731928164503368	0.9316892572028591
ABCB4	35.56177926469184	-0.400466260108084	0.33167308471675777	-1.2074125955986879	0.22727328718917614	0.8831334972811102
ABCB5	10.57556297062838	-0.4004798082073063	0.5077752151130022	-0.7886950687779868	0.43029025076102945	0.949246525241159
ABCB6	133.36957368333765	0.0035823572167823997	0.23820868215079105	0.015038734879170748	0.988001277906531	0.9994553985484685
ABCB7	1188.582560875286	0.02058942887245699	0.23266858389328166	0.0884925181042094	0.929485230699035	0.9982461418513799
ABCB8	346.663792071359	0.39431772241219976	0.2859464730103563	1.378991383460493	0.16789741057969693	0.849942814823511
ABCB9	136.51923163580378	-0.2217981307405953	0.31560897417560524	-0.7027624335459692	0.4822038120570842	0.959132831687794
ABCC1	395.84209532358267	0.008081574037904658	0.21035268358182224	0.03841916299946378	0.9693534823963716	0.9994553985484685
ABCC10	184.5919017105244	0.47330394093829864	0.313168956689355	1.5113373494672016	0.13070252262131588	0.8128658318698395
ABCC11	76.70147995975167	-0.06059239081549299	0.21656613850121673	-0.2797870028751174	0.7796409238348398	0.988283406722431
ABCC12	1.729099100593349	-0.13909479385259205	1.0820021845732364	-0.1285531543611937	0.8977112360334897	NA
ABCC13	1.9154642978406253	0.8197166501191274	1.0364922707964639	0.7908565005402681	0.4290277347878488	NA
ABCC2	76.67970246097606	-0.049895812347323466	0.2551099726455901	-0.19558550310630507	0.844934607976137	0.9945075115568311
ABCC3	18.120461955828922	-1.0291738420276162	0.6092031482711433	-1.6893770902995282	0.09114718847663734	0.774080902136148
ABCC4	573.5772107115641	0.5050893781851825	0.36911201048311953	1.3683905260196934	0.17118986815622803	0.8507262707326002
ABCC5	1130.039832746506	0.119839586388607	0.1718418146948936	0.6973831520656545	0.4855630424108932	0.9593072131601293
ABCC5-AS1	0	NA	NA	NA	NA	NA
ABCC6	22.4556631595033	0.06581515636270775	0.3356613663634117	0.19607605449431265	0.844550638204095	0.9945075115568311
ABCC6P1	16.613888111316744	0.012243009406016657	0.6011493063193148	0.02036600438080434	0.9837514027967169	0.9994553985484685
ABCC6P2	0	NA	NA	NA	NA	NA
ABCC8	526.8894679772159	-0.07165234617048728	0.3189612535113537	-0.22464279087722094	0.8222571732521	0.9920053554220873
ABCC9	127.66466428931483	-0.38250747556940556	0.35163116057631044	-1.087808813480836	0.2766795178938167	0.8997009977200493
ABCD1	32.777544548631475	0.29333317928823155	0.28437307922302146	1.0315082570041134	0.3023025381575692	0.908480741297465
ABCD2	1018.6811627011116	-0.23615633747634632	0.3280284094441658	-0.7199264779428894	0.47157026447253353	0.9577850783548021
ABCD3	2384.4104377818517	0.02374408240138662	0.16240325757362692	0.14620447124111435	0.8837599759515655	0.9975867902969487
ABCD4	493.38973467637953	0.251722215622853	0.2591343621795887	0.9713965122402455	0.3313508646793541	0.9165676046849506
ABCE1	419.56523753600715	0.08414853112538394	0.19659001063702997	0.42804072726131487	0.6686214690992778	0.9819768098022252
ABCF1	372.37562299474496	0.017266475852091307	0.14960506994851952	0.11541370795811172	0.9081172141889229	0.9982461418513799
ABCF2	156.80447018034707	0.10712285524212731	0.25605649277909787	0.4183563325400349	0.675686608449485	0.9819768098022252
ABCF3	131.7555560530189	0.19360519651598862	0.30081394494735725	0.643604459726326	0.5198319575758039	0.9665483442200328
ABCG1	929.3907728818891	0.09439323262290641	0.26093877127352655	0.36174475783040927	0.7175427769971321	0.9859378330366176
ABCG2	166.33440274541726	0.044769475500588116	0.3426935982023928	0.13063995281915808	0.8960601357753117	0.9975867902969487
ABCG4	32.24640546968171	0.26365589047286686	0.45253172907182304	0.5826240980132932	0.5601463793361341	0.9687149495220614
ABCG5	57.00464457374824	-0.6092320479961356	0.30579138425922725	-1.992312665943766	0.0463367628497543	0.7125614503852574
ABCG8	5.298244666451712	-0.15501906253582806	0.568373876946526	-0.27274135709515135	0.7850520411236629	NA
ABHD1	51.614981833553706	0.49100813108692654	0.3753629318684569	1.3080890237158438	0.19084311594998543	0.8615132573318168
ABHD10	273.2941935433656	-0.17525966350809458	0.21099368860257792	-0.8306393649442709	0.4061773896967053	0.9401500703400694
ABHD11	19.79039841750843	0.3097622419039821	0.48529604505225415	0.6382954179456141	0.5232813941529129	0.9665483442200328
ABHD11-AS1	1.9485564427863027	1.602511220125308	1.0564878133882174	1.5168288737623599	0.12930989504788667	NA
ABHD12	1097.532629830867	0.20578234135053228	0.1546268308056135	1.3308320443379458	0.18324428146649693	0.8594674976698591
ABHD12B	362.9339102285057	-0.6763942027127592	0.2981810604085748	-2.268400956740672	0.0233047795192908	0.6245581118401033
ABHD13	168.34317111479302	-0.2553573784071882	0.1898891483980558	-1.3447707810658796	0.17869926882306844	0.8568847198563065
ABHD14A	0	NA	NA	NA	NA	NA
ABHD14A-ACY1	21.867467834694768	-0.7034704751990702	0.3501464808311008	-2.0090748121452675	0.04452920040266224	0.7058265297128301
ABHD14B	67.20237201729756	-0.20587056979816165	0.285269885973878	-0.7216694783444935	0.47049771154440706	0.9577850783548021
ABHD15	29.19779829054689	-0.5065634196453654	0.32836590472630006	-1.5426797129488727	0.12290850650854342	0.8087387175327554
ABHD16A	186.73639764829255	0.13860195467509953	0.21096816990351763	0.6569804095967963	0.5111935131063575	0.9665483442200328
ABHD16B	6.175666574984592	0.1934014308378451	0.6968290371576619	0.2775450225592233	0.7813616400800227	0.9884493209775775
